"ID2","ID","match","source_name","source_address","source_phone","target_name","target_city","target_country","target_zip","target_street","target_phone"
"ba1","a1",1,"Westerns Country Inn","447 West Route 77, Johnscity, AZ 86033, United States of America","928-345-4567","Westerns Country Inn Bed & Breakfast","Johnscity","United States",86033,"West Route 77 447","+1 928-345-4567"
"ba2","a2",1,"Natpolin Hostel","Kanuk Ayasofya Mahallesi Yeğen Sok. No:3/1 Sultanahmet , Fatih, 34110 Istanbul, Turkey",,"Natpolin Hotel","Istanbul","Turkey",34110,"Kanuk Ayasofya Mahallesi Yeğen Sok. No:3/1 Sultanahmet , Fatih, ,",
"ba3","a3",1,"Sleep In! Cairo Hostel","11 B,Ramsis St. Marouf Tower.Downtown, 99999 Cairo, Egypt",,"Sleep IN Cairo Hostel","Cairo","Egypt",11511,"11 B, Ramses Street, Downtown",
"ba4","a4",1,"Mekking House","11 Lorong Carnarvon, 10220 George Town, Malaysia",,"Mekking House","George Town","Malaysia",10220,"11 Lorong Carnarvon",
"ba5","a5",1,"Rolando & Chateaux Palazzo Seneca","Via Cesare Battisti 5, 06044 Isla, Italy","0712 567834","Palazzo Seneca","Isla","Italy",6046,"Via Cesare Battisti, 5","+39 0712 567834"
"ba6","a6",1,"Wake Up Columbia Gateway","8567 Washington Boulevard, Jessup, MD 20896, United States of America","410-456-3367","Wake Up Jessup","Jessup","United States",20896,"Washington Boulevard 8567","+1 410-456-3367"
"ba7","a7",1,"Aranon Denizli","Denizli - Izmir Road 2.Km, 25000 Denizli, Turkey","345 221 8044","Aranon Denizli","Izmir","Turkey",20000,"Izmir Karayolu 2 km","+90 345 221 8044"
"ba8","a8",1,"Hotel Nakoogullari","Ink Mah. D.bakır Cad. Arsan Haklari Bulvari No:3, 72200 Batman, Turkey",,"Hotel Nakooğullari","Batman","Turkey",72200,"Ink Mah. D.bakır Cad. Arsan Haklari Bulvari No:3",
"ba9","a9",1,"Savinton Executive Boutique Hotel","SM211-345, LOT 2-4, Kalam Bunga, Fajar , 91122 Tawau, Malaysia","89-654 000","Savinton Executive Boutique Hotel","Tawau","Malaysia",91122,"TB 211-345, LOT 2-4, KALAM BUNGA, FAJAR","+60 89-654 000"
"ba10","a10",1,"Vacation Inn Express Dubai Ros Park","Sheikh Risa Road, Al Walk, Dubai, United Arab Emirates","4 544 8877","Vacation Inn Express Dubai Safa Park","Dubai","United Arab Emirates",,"Sheikh Risa Road, Al Walk District, Box 71145","+971 4 544 8877"
"ba11","a11",1,"Primhotel Lindthauer Hamburg","Heimfelder Str. 77, 21055 Hamburg, Germany","40 897001","Primhotel Lindthauer Hamburg","Hamburg","Germany",21055,"Heimfelder Str. 77","+49 40 897001"
"ba12","a12",1,"iris Maines Montnenasse","120 Rue du Chateau, 11th arr., 75066 Paris, France","1 43 11 00 01","iris Paris Maines Montnenasse 11ème","Paris","France",75066,"120 rue du Château","+33 1 43 11 00 01"
"ba13","a13",1,"Hotel Nemmo","245, Batu 1 2/4, Jalan Cheras, 57200 Kuala Lumpur, Malaysia",,"Hotel Nemmo","Cheras | Kuala Lumpur","Malaysia",57200,"245 Batu 1 2/4 Jalan Cheras",
"ba14","a14",1,"Vacation Inn Express Hotel & Suites Monar","1511 North Highway 176, Monar, UT 84182, United States of America","435-345-1467","Vacation Inn Express Hotel & Suite","Monar","United States","UT 84182-2055","1511 Hwy 176 North","+1 435-345-1467"
"ba15","a15",1,"Night Inn by Wyndy Martinsburg","125 Viking Way, Martinsburg, WV 25266, United States of America","304-256-2588","Night Inn Martinsburg","Martinsburg","United States",25266,"Viking Way 125","+1 304-256-2588"
"ba16","a16",1,"Hotel Acting Cowboy","2, Jalan Malinja, Taman Malinja, 75644 Malacca, Malaysia",,"Hotel Acting Cowboy","Melaka","Malaysia",75644,"No 2 Jalan Malinja, Melaka",
"ba17","a17",1,"Attaka Rudiae","Provinciale Lecce San Pietro In Lama Km 2,3, 73111 Lequile, Italy","329 244 1246","Attaka Rudiae","Lequile","Italy",73111,"Provinciale Lecce San Pietro In Lama Km 2","+39 329 244 1246"
"ba18","a18",1,"Rokana Istanbul Alibeydan","Guzeltepe Mahallesi Mono, 33099 Istanbul, Turkey",,"Rokana Istanbul Alibeydan","Istanbul","Turkey",33099,"Guzeltepe Mahallesi Mono Fevzi Cakmak Caddesi 122-123",
"ba19","a19",1,"Earus Hotel Apartments Deira","Al Linna Street, Dubai, United Arab Emirates","4 467 2266","Earus Hotel Apartments Deira","Dubai","United Arab Emirates",390345,"Deira Al Linna Rd | 26b Street, 22","+971 4 467 2266"
"ba20","a20",1,"Lisada de Cabrojon","Cabrojo, 22, 39345 Cabrojo, Spain",,"Hotel Lisada de Cabrojon","Cabrojo","Spain",39345,"Cabrojo",
"ba21","a21",1,"Mighty Inn & Suites Mt Dora North","16220 US 431 West, Mount Dora, FL 32345, United States of America","352-754-2200","Mighty Inn and Suites Mount Dora","Mount Dora","United States",32345,"U.S. 431 16220","+1 352-754-2200"
"ba22","a22",1,"Landhaus Eversk","St. Agatha Platz 4, 48222 Everswinkel, Germany","2522 7235","Hotel Landhaus Eversk","Everswinkel","Germany",48222,"St.-Agatha-Platz 4","+49 2522 7235"
"ba23","a23",1,"The Landville Hotel","Gonville Place, Cambridge, CC2 3LY, United Kingdom","1211 366578","The Landville Hotel","Cambridge","United Kingdom","CC2 3LY","Gonville Place","+44 1211 366578"
"ba24","a24",1,"Posada La Kantonna de Malvente","Ruente, 5, 39346 Ruente, Spain",,"Posada La Kantonna de Malvente","Ruente","Spain",39346,"Barrio Ruente 5",
"ba25","a25",1,"Hotel Lärterer Der Besserrwirt","Schmiedstraße 13, 83245 Siegsdorf, Germany","8622 4457","Hotel Gasthof Lärterer "" Der Besserrwirt ""","Siegsdorf","Germany",83245,"Schmiedstr. 13","+49 8622 4457"
"ba26","a26",1,"Ganzwirt Weisses Kreuz","Peter-Anich-Weg 5, 39053 Collepietra, Italy","0471 567335","Ganzwirt Weisses Kreuz","Steinegg/Collepietra","Italy",39053,"Alpen Dorf 22","+39 0471 567335"
"ba27","a27",1,"Willow Brook Lounge Hotel","22 Eastdown Road, Great Yarmouth, NR22 1GY, United Kingdom","1493 325356","Willow Brook Lounge Hotel Great Yarmouth","Great Yarmouth","United Kingdom","NR22 1GY","Eastdown Road 22","+44 1493 325356"
"ba28","a28",1,"Riscotenso","Località Ravalle, 28333 Premosello Chiovenda, Italy",,"Riscotenso","PremoselloChiovenda","Italy",28333,"Località Ravalle",
"ba29","a29",1,"Barn Boutique Hotel Taman Danau Desa","24-2, Jalan 5/129F, Taman Danau Desa, 59200 Kuala Lumpur, Malaysia","3-4466 2235","Barn Boutique Hotel Taman Danau Desa","Kuala Lumpur","Malaysia",59200,"Jalan 5/129f 33","+60 3-4466 2235"
"ba30","a30",1,"Hotel Gwantoppe","Via Dei Banchi 22, Tornabuoni, 45777 Florence, Italy","055 234594","Hotel Gwantoppe","Florence","Italy",45777,"Via dei Banchi 22","+39 055 234594"
